Plot Title,Curve Name,Plot T-1,Batch Time,Fwd Rate Numerator
JPY LCH - GMO,GMOJPY-0-15NYLC,TRUE,PM,1
JPY LIBOR,IFSJPY-6-1500TK,TRUE,AM,180
JPY LIBOR,LIBJPY-6-1500TK,TRUE,AM,180
JPY LIBOR,IFSJPY-3-1500TK,TRUE,AM,90
JPY LIBOR,LIBJPY-3-1500TK,TRUE,AM,90
JPY TIBOR - 3PM Fix,IFSJPT-6-1500TK,TRUE,AM,180
JPY TIBOR - 3PM Fix,IFSJPT-3-1500TK,TRUE,AM,90
JPY XCCY,IFSJPY-X-1600LN,TRUE,AM,90
KRW,IFSKRW-3-1600LN,TRUE,AM,90
KRW,IFSKRW-3-1615SG,TRUE,AM,90
KRW,IFSKRW-X-1600LN,TRUE,AM,90
KRW Capula vs IFS,CAPKRW-3-1500NY,TRUE,CAPULA,90
MXN - AM,IFSMXN-1-1600LN,TRUE,AM,30
MXN - AM,IFSMXN-X-1600LN,TRUE,AM,28
MXN - GMO,GMOMXN-1-1500NY,TRUE,PM,30
MXN - PM,IFSMXN-1-1500NY,TRUE,PM,30
MXN - PM,IFSMXN-X-1500NY,TRUE,PM,28
MYR,IFSMYR-3-1600LN,TRUE,AM,90
MYR,IFSMYR-3-1615SG,TRUE,AM,90
MYR,IFSMYR-3-1800HK,TRUE,AM,90
MYR XCCY,IFSMYR-X-1600LN,TRUE,AM,90
NOK,IFSNOK-6-1600LN,TRUE,AM,180
NOK,IFSNOK-3-1600LN,TRUE,AM,90
NOK,IFSNOK-X-1600LN,TRUE,AM,90
NOK - GMO,GMONOK-6-1500NY,TRUE,PM,180
NOK - GMO,GMONOK-3-1500NY,TRUE,PM,90
NZD - 1630WE,IFSNZD-3-1630WE,TRUE,AM,90
NZD - 1630WE,IFSNZD-0-1630WE,TRUE,AM,1
NZD - GMO,GMONZD-3-1500NY,TRUE,PM,90
NZD - XCCY,IFSNZD-X-1600LN,TRUE,AM,90
NZD PM,IFSNZD-0-1500NY,TRUE,PM,1
PLN,IFSPLN-6-1600LN,TRUE,AM,180
PLN,IFSPLN-3-1600LN,TRUE,AM,90
PLN,IFSPLN-E-1600LN,TRUE,AM,90
PLN - GMO,GMOPLN-6-1500NY,TRUE,PM,180
PLN - GMO,GMOPLN-3-1500NY,TRUE,PM,90
SAR,IFSSAR-3-1600LN,TRUE,AM,90
SEK,IFSSEK-3-1600LN,TRUE,AM,90
SEK,IFSSEK-X-1600LN,TRUE,AM,90
SEK - GMO,GMOSEK-3-1500NY,TRUE,PM,90
SEK - GMO,GMOSEK-0-1500NY,TRUE,PM,1
SGD,IFSSGD-6-1600LN,TRUE,AM,180
SGD,IFSSGD-6-1615SG,TRUE,AM,180
SGD,IFSSGD-X-1600LN,TRUE,AM,90
SGD - 1800HK,IFSSGD-6-1800HK,TRUE,AM,180
SGD - 1800HK,IFSSGD-3-1800HK,TRUE,AM,90
SYM - EUR 3M & 6M,SYMEUR-6-1615LN,TRUE,AM,180
SYM - EUR 3M & 6M,SYMEUR-3-1615LN,TRUE,AM,90
SYM - EUR OIS & 1M,SYMEUR-1-1615LN,TRUE,AM,30
SYM - EUR OIS & 1M,SYMEUR-0-1615LN,TRUE,AM,1
SYM - USD,SYMUSD-6-1500NY,TRUE,PM,180
SYM - USD,SYMUSD-3-1500NY,TRUE,PM,90
SYM - USD,SYMUSD-1-1500NY,TRUE,PM,30
SYM - USD,SYMUSD-0-1500NY,TRUE,PM,1
THB,IFSTHB-6-1600LN,TRUE,AM,180
THB,IFSTHB-6-1800HK,TRUE,AM,180
THB,IFSTHB-X-1600LN,TRUE,AM,180
TRY XCCY - AM,IFSTRY-X-1600LN,TRUE,AM,360
TRY XCCY - PM,IFSTRY-X-1500NY,TRUE,PM,360
TWD,IFSTWD-3-1600LN,TRUE,AM,90
TWD,IFSTWD-3-1800HK,TRUE,AM,90
USD - BMA,IFSUSD-3-1500NY,TRUE,PM,90
USD - BMA,IFSUSD-7-15NYBM,TRUE,PM,90
USD 3M & 6M - 3PM EST,IFSUSD-6-1500NY,TRUE,PM,180
USD 3M & 6M - 3PM EST,IFSUSD-3-1500NY,TRUE,PM,90
USD 3M & 6M - 4PM London,IFSUSD-6-1600LN,TRUE,AM,180
USD 3M & 6M - 4PM London,IFSUSD-3-1600LN,TRUE,AM,90
USD 3M & 6M - GMO,GMOUSD-6-1500NY,TRUE,PM,180
USD 3M & 6M - GMO,GMOUSD-3-1500NY,TRUE,PM,90
USD 3M OIS - 3PM EST,IFSUSD-0-1500NY,TRUE,PM,1
USD Capula - 3M & 6M,CAPUSD-6-1500NY,TRUE,CAPULA,180
USD Capula - 3M & 6M,CAPUSD-3-1500NY,TRUE,CAPULA,90
USD Capula - OIS & 1M,CAPUSD-1-1500NY,TRUE,CAPULA,30
USD Capula - OIS & 1M,CAPUSD-0-1500NY,TRUE,CAPULA,1
USD CME - 3PM EST,IFSUSD-6-15NYCM,TRUE,PM,180
USD CME - 3PM EST,IFSUSD-3-15NYCM,TRUE,PM,90
USD CME - 3PM EST,IFSUSD-1-15NYCM,TRUE,PM,30
USD CME - 4PM London,IFSUSD-6-16LNCM,TRUE,AM,180
USD CME - 4PM London,IFSUSD-3-16LNCM,TRUE,AM,90
USD CME - GMO,GMOUSD-6-15NYCM,TRUE,PM,180
USD CME - GMO,GMOUSD-3-15NYCM,TRUE,PM,90
USD CME - GMO,GMOUSD-1-15NYCM,TRUE,PM,30
USD LIBOR - AM,LIBUSD-3-1600LN,TRUE,AM,90
USD LIBOR - PM,LIBUSD-3-1500NY,TRUE,PM,90
USD OIS & 1M - 3PM EST,IFSUSD-1-1500NY,TRUE,PM,30
USD OIS & 1M - 3PM EST,IFSUSD-0-1500NY,TRUE,PM,1
USD OIS & 1M - 4PM London,IFSUSD-1-1600LN,TRUE,AM,30
USD OIS & 1M - 4PM London,IFSUSD-1-16LNCM,TRUE,AM,30
USD OIS & 1M - 4PM London,IFSUSD-0-1600LN,TRUE,AM,1
USD OIS & 1M - GMO,GMOUSD-1-1500NY,TRUE,PM,30
USD OIS & 1M - GMO,GMOUSD-0-1500NY,TRUE,PM,1
ZAR,IFSZAR-3-1600LN,TRUE,AM,90
ZAR,IFSZAR-X-1600LN,TRUE,AM,90
ZAR - GMO,GMOZAR-3-1500NY,TRUE,PM,90
